Compilation Hierarchy Node,Combinational ALUTs,Dedicated Logic Registers,Memory Bits,DSP Elements,DSP 9x9,DSP 18x18,Pins,Virtual Pins,Full Hierarchy Name,Entity Name,Library Name
|try,13302 (13),16797 (0),0,0,0,0,21,0,|try,try,work
   |Clock_divider:cd|,43 (43),29 (29),0,0,0,0,0,0,|try|Clock_divider:cd,Clock_divider,work
   |Datapath:dp|,13232 (0),16768 (0),0,0,0,0,0,0,|try|Datapath:dp,Datapath,work
      |ALUnitHW:alu|,1144 (523),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu,ALUnitHW,work
         |lpm_mult:Mult0|,621 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0,lpm_mult,work
            |multcore:mult_core|,621 (289),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core,multcore,work
               |mpar_add:padder|,272 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder,mpar_add,work
                  |lpm_add_sub:adder[0]|,32 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[0],lpm_add_sub,work
                     |addcore:adder|,32 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[0]|addcore:adder,addcore,work
                        |a_csnbuffer:result_node|,32 (32),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[0]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
                  |lpm_add_sub:adder[1]|,28 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[1],lpm_add_sub,work
                     |addcore:adder|,28 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[1]|addcore:adder,addcore,work
                        |a_csnbuffer:result_node|,28 (28),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[1]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
                  |lpm_add_sub:adder[2]|,24 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[2],lpm_add_sub,work
                     |addcore:adder|,24 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[2]|addcore:adder,addcore,work
                        |a_csnbuffer:result_node|,24 (24),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[2]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
                  |lpm_add_sub:adder[3]|,20 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[3],lpm_add_sub,work
                     |addcore:adder|,20 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[3]|addcore:adder,addcore,work
                        |a_csnbuffer:result_node|,20 (20),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[3]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
                  |lpm_add_sub:adder[4]|,16 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[4],lpm_add_sub,work
